Id,IsDeleted,AccountId,IsPrivate,Name,Description,StageName,Amount,Probability,ExpectedRevenue,TotalOpportunityQuantity,CloseDate,Type,NextStep,LeadSource,IsClosed,IsWon,ForecastCategory,ForecastCategoryName,CampaignId,HasOpportunityLineItem,Pricebook2Id,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,FiscalQuarter,FiscalYear,Fiscal,LastViewedDate,LastReferencedDate,HasOpenActivity,HasOverdueTask,DeliveryInstallationStatus__c,TrackingNumber__c,OrderNumber__c,CurrentGenerators__c,MainCompetitors__c
006f4000002NAbUAAW,,001f4000003NkdQAAS,,Pilot 25 users,"Customer pain: training is too intense, product is too difficult to use, not a scalable solution.  Mashmatrix seems to solve all of those issues.",Closed Won,10203,100,10203,,2021-10-13,Existing Customer - Upgrade,Closed Won.  Paperwork attached.,MM-2057,1,1,Closed,Closed,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:46.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:47.000+0000,,4,2021,2021 4,2021-06-05T11:10:46.000+0000,2021-06-05T11:10:46.000+0000,,,,,,,
006f4000002NAbVAAW,,001f4000003Nkd3AAC,,mm 400 users,"Current product is too expensive on a recurring basis, and maintenance fees are through the roof.  Requires IT administration, which is where they are looking to cut costs.",Closed Won,21299,100,21299,,2021-07-08,Existing Customer - Upgrade,Closed Won.  Paperwork attached.,MM-2058,1,1,Closed,Closed,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:46.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:47.000+0000,,3,2021,2021 3,2021-06-05T11:10:46.000+0000,2021-06-05T11:10:46.000+0000,,,,,,,
006f4000002NAbWAAW,,001f4000003NkdjAAC,,Pilot 100 users,Competing with on-premise solutions which are costly and require heavy administration and infrastructure.  Looking for a more cost effective solution,Needs Analysis,12316,20,2463.2000000000003,,2021-10-16,Existing Customer - Replacement,Closed Won.  Paperwork attached.,MM-2059,,,Pipeline,Pipeline,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:15:24.000+0000,005f4000000VrDDAA0,2021-06-05T11:15:24.000+0000,,4,2021,2021 4,2021-06-05T11:15:23.000+0000,2021-06-05T11:15:23.000+0000,,,,,,,
006f4000002NAbXAAW,,001f4000003NkdsAAC,,Training 10 hours,Using legacy systems and want to extract data from many sources and aggregate onto one screen.,Prospecting,13699,10,1369.9,,2021-12-09,Existing Customer - Replacement,Closed Won.  Paperwork attached.,MM-2060,,,Pipeline,Pipeline,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:12:00.000+0000,005f4000000VrDDAA0,2021-06-05T11:12:00.000+0000,,4,2021,2021 4,2021-06-05T11:12:00.000+0000,2021-06-05T11:12:00.000+0000,,,,,,,
006f4000002NAbYAAW,,001f4000003NkcqAAC,,Training 20 hours,Not currently using any SaaS solutions.  We seem to be the only product in contention.,Closed Won,14167,100,14167,,2021-07-12,Existing Customer - Replacement,Closed Won.  Paperwork attached.,MM-2061,1,1,Closed,Closed,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:46.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:47.000+0000,,3,2021,2021 3,2021-06-05T11:10:46.000+0000,2021-06-05T11:10:46.000+0000,,,,,,,
006f4000002NAbZAAW,,001f4000003Nkd2AAC,,Training 30 hours,They don't use computers.  They throw rocks and sticks at each other for information-exchange.,Closed Won,11735,100,11735,,2021-02-21,Existing Customer - Downgrade,Closed Won.  Paperwork attached.,MM-2062,1,1,Closed,Closed,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:46.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:47.000+0000,,1,2021,2021 1,2021-06-05T11:10:46.000+0000,2021-06-05T11:10:46.000+0000,,,,,,,
006f4000002NAZzAAO,,001f4000003NkdxAAC,,Pilot 100 users,They don't use computers.  They throw rocks and sticks at each other for information-exchange.,Closed Won,20131,100,20131,,2021-08-06,Existing Customer - Upgrade,Closed Won.  Paperwork attached.,MM-1964,1,1,Closed,Closed,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:46.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:47.000+0000,,3,2021,2021 3,2021-06-05T11:10:46.000+0000,2021-06-05T11:10:46.000+0000,,,,,,,
006f4000002NAa0AAG,,001f4000003NkdyAAC,,Add'l 500 seats,Current solution is not scalable.  Requires 2 full time IT resources and very long training schedule.  Only 18 people trained on the current dashboard product.,Closed Won,11629,100,11629,,2021-04-25,New Customer,Closed Won.  Paperwork attached.,MM-1965,1,1,Closed,Closed,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:46.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:47.000+0000,,2,2021,2021 2,2021-06-05T11:10:46.000+0000,2021-06-05T11:10:46.000+0000,,,,,,,
006f4000002NAa1AAG,,001f4000003NkdpAAC,,Installation Proposal,Current dashboard solution is very costly and not very user friendly,Closed Won,20049,100,20049,,2021-06-17,New Customer,Closed Won.  Paperwork attached.,MM-1966,1,1,Closed,Closed,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:46.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:47.000+0000,,2,2021,2021 2,2021-06-05T11:10:46.000+0000,2021-06-05T11:10:46.000+0000,,,,,,,
006f4000002NAa2AAG,,001f4000003NkdkAAC,,Migration Proposal,Want 350 Seats of primary product.  Would like 4 weeks of consulting.  Definite issues in current dashboard product.,Proposal/Price Quote,17637,75,13227.75,,2021-07-25,New Customer,Closed Won.  Paperwork attached.,MM-1967,,,Pipeline,Pipeline,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:14:44.000+0000,005f4000000VrDDAA0,2021-06-05T11:14:44.000+0000,,3,2021,2021 3,2021-06-05T11:14:44.000+0000,2021-06-05T11:14:44.000+0000,,,,,,,
006f4000002NAa3AAG,,001f4000003NkdlAAC,,System Assessment,"Cannot mashup external data, need enterprise mashup solution.  Current work-around is not adequate",Proposal/Price Quote,18508,75,13881,,2021-07-05,New Customer,Closed Won.  Paperwork attached.,MM-1968,,,Pipeline,Pipeline,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:14:44.000+0000,005f4000000VrDDAA0,2021-06-05T11:14:44.000+0000,,3,2021,2021 3,2021-06-05T11:14:44.000+0000,2021-06-05T11:14:44.000+0000,,,,,,,
006f4000002NAa4AAG,,001f4000003NkdrAAC,,300 Add'l Users,"Need a drag and drop interface, IT costs are too high, leading to near-zero customization due to high costs.",Closed Won,14712,100,14712,,2021-09-21,New Customer,Closed Won.  Paperwork attached.,MM-1969,1,1,Closed,Closed,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:46.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:47.000+0000,,3,2021,2021 3,2021-06-05T11:10:46.000+0000,2021-06-05T11:10:46.000+0000,,,,,,,
006f4000002NAa5AAG,,001f4000003NkdDAAS,,mm 300 seats,Low user adoption because of lack of personalized dashboards,Closed Won,24785,100,24785,,2021-04-22,New Customer,Closed Won.  Paperwork attached.,MM-1970,1,1,Closed,Closed,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:46.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:47.000+0000,,2,2021,2021 2,2021-06-05T11:10:46.000+0000,2021-06-05T11:10:46.000+0000,,,,,,,
006f4000002NAa6AAG,,001f4000003NkdiAAC,,350 seats,"Current solution is not easy to use, and requires a long setup/implementation period.  This is not scalable and there is a lot of pushback from SFDC administrators",Closed Won,12853,100,12853,,2021-08-06,New Customer,Closed Won.  Paperwork attached.,MM-1971,1,1,Closed,Closed,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:46.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:47.000+0000,,3,2021,2021 3,2021-06-05T11:10:46.000+0000,2021-06-05T11:10:46.000+0000,,,,,,,
006f4000002NAa7AAG,,001f4000003NkdYAAS,,System Assessment,"Requires ""super users"" to learn the system, which is not the setup they want.  They prefer a product that all users can easily learn.",Closed Won,16829,100,16829,,2021-02-03,New Customer,Closed Won.  Paperwork attached.,MM-1972,1,1,Closed,Closed,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:46.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:47.000+0000,,1,2021,2021 1,2021-06-05T11:10:46.000+0000,2021-06-05T11:10:46.000+0000,,,,,,,
006f4000002NAa8AAG,,001f4000003NkdgAAC,,Dashboard + BI Tool,"Customer pain: training is too intense, product is too difficult to use, not a scalable solution.  Mashmatrix seems to solve all of those issues.",Prospecting,17811,10,1781.1000000000001,,2021-12-15,Existing Customer - Replacement,Closed Won.  Paperwork attached.,MM-1973,,,Pipeline,Pipeline,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:12:00.000+0000,005f4000000VrDDAA0,2021-06-05T11:12:00.000+0000,,4,2021,2021 4,2021-06-05T11:12:00.000+0000,2021-06-05T11:12:00.000+0000,,,,,,,
006f4000002NAa9AAG,,001f4000003NkdnAAC,,Add on Storage,"Current product is too expensive on a recurring basis, and maintenance fees are through the roof.  Requires IT administration, which is where they are looking to cut costs.",Closed Won,18014,100,18014,,2021-08-19,New Customer,Closed Won.  Paperwork attached.,MM-1974,1,1,Closed,Closed,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:46.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:47.000+0000,,3,2021,2021 3,2021-06-05T11:10:46.000+0000,2021-06-05T11:10:46.000+0000,,,,,,,
006f4000002NAaAAAW,,001f4000003NkdLAAS,,500 seats mm,Competing with on-premise solutions which are costly and require heavy administration and infrastructure.  Looking for a more cost effective solution,Closed Won,17853,100,17853,,2021-02-22,New Customer,Closed Won.  Paperwork attached.,MM-1975,1,1,Closed,Closed,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:46.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:47.000+0000,,1,2021,2021 1,2021-06-05T11:10:46.000+0000,2021-06-05T11:10:46.000+0000,,,,,,,
006f4000002NAaBAAW,,001f4000003NkdEAAS,,dashboard assessment,Using legacy systems and want to extract data from many sources and aggregate onto one screen.,Closed Won,21085,100,21085,,2021-09-04,New Customer,Closed Won.  Paperwork attached.,MM-1976,1,1,Closed,Closed,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:46.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:47.000+0000,,3,2021,2021 3,2021-06-05T11:10:46.000+0000,2021-06-05T11:10:46.000+0000,,,,,,,
006f4000002NAaCAAW,,001f4000003NkdDAAS,,Migration to mm,Not currently using any SaaS solutions.  We seem to be the only product in contention.,Closed Won,10313,100,10313,,2021-09-13,New Customer,Closed Won.  Paperwork attached.,MM-1977,1,1,Closed,Closed,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:46.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:47.000+0000,,3,2021,2021 3,2021-06-05T11:10:46.000+0000,2021-06-05T11:10:46.000+0000,,,,,,,
006f4000002NAaDAAW,,001f4000003NkdeAAC,,Consulting Stage 1,They don't use computers.  They throw rocks and sticks at each other for information-exchange.,Closed Won,14959,100,14959,,2021-08-17,Existing Customer - Upgrade,Closed Won.  Paperwork attached.,MM-1978,1,1,Closed,Closed,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:46.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:47.000+0000,,3,2021,2021 3,2021-06-05T11:10:46.000+0000,2021-06-05T11:10:46.000+0000,,,,,,,
006f4000002NAaEAAW,,001f4000003NkcmAAC,,Consulting Stage 2,Current solution is not scalable.  Requires 2 full time IT resources and very long training schedule.  Only 18 people trained on the current dashboard product.,Prospecting,18201,10,1820.1000000000001,,2021-12-19,Existing Customer - Replacement,Closed Won.  Paperwork attached.,MM-1979,,,Pipeline,Pipeline,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:12:00.000+0000,005f4000000VrDDAA0,2021-06-05T11:12:00.000+0000,,4,2021,2021 4,2021-06-05T11:12:00.000+0000,2021-06-05T11:12:00.000+0000,,,,,,,
006f4000002NAaFAAW,,001f4000003NkclAAC,,Pilot 50 users,Current dashboard solution is very costly and not very user friendly,Negotiation/Review,12055,90,10849.5,,2021-07-10,Existing Customer - Upgrade,Closed Won.  Paperwork attached.,MM-1980,,,Pipeline,Pipeline,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:14:44.000+0000,005f4000000VrDDAA0,2021-06-05T11:14:44.000+0000,,3,2021,2021 3,2021-06-05T11:14:44.000+0000,2021-06-05T11:14:44.000+0000,,,,,,,
006f4000002NAaGAAW,,001f4000003NkcvAAC,,Proof of Concept,Want 350 Seats of primary product.  Would like 4 weeks of consulting.  Definite issues in current dashboard product.,Closed Won,16854,100,16854,,2021-02-20,Existing Customer - Upgrade,Closed Won.  Paperwork attached.,MM-1981,1,1,Closed,Closed,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:46.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:47.000+0000,,1,2021,2021 1,2021-06-05T11:10:46.000+0000,2021-06-05T11:10:46.000+0000,,,,,,,
006f4000002NAaHAAW,,001f4000003Nkd3AAC,,Pilot 25 users,"Cannot mashup external data, need enterprise mashup solution.  Current work-around is not adequate",Closed Won,15394,100,15394,,2021-02-06,Existing Customer - Replacement,Closed Won.  Paperwork attached.,MM-1982,1,1,Closed,Closed,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:46.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:47.000+0000,,1,2021,2021 1,2021-06-05T11:10:46.000+0000,2021-06-05T11:10:46.000+0000,,,,,,,
006f4000002NAaIAAW,,001f4000003NkdjAAC,,mm 400 users,"Need a drag and drop interface, IT costs are too high, leading to near-zero customization due to high costs.",Prospecting,15153,10,1515.3000000000002,,2021-11-02,Existing Customer - Replacement,Closed Won.  Paperwork attached.,MM-1983,,,Pipeline,Pipeline,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:14:44.000+0000,005f4000000VrDDAA0,2021-06-05T11:14:44.000+0000,,4,2021,2021 4,2021-06-05T11:14:44.000+0000,2021-06-05T11:14:44.000+0000,,,,,,,
006f4000002NAaJAAW,,001f4000003NkcqAAC,,Pilot 100 users,Low user adoption because of lack of personalized dashboards,Closed Won,22210,100,22210,,2021-06-25,Existing Customer - Downgrade,Closed Won.  Paperwork attached.,MM-1984,1,1,Closed,Closed,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:46.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:47.000+0000,,2,2021,2021 2,2021-06-05T11:10:46.000+0000,2021-06-05T11:10:46.000+0000,,,,,,,
006f4000002NAaKAAW,,001f4000003NkdbAAC,,Training 10 hours,"Current solution is not easy to use, and requires a long setup/implementation period.  This is not scalable and there is a lot of pushback from SFDC administrators",Closed Lost,14206,0,0,,2021-01-22,Existing Customer - Upgrade,Closed Won.  Paperwork attached.,MM-1985,1,,Omitted,Omitted,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:13:02.000+0000,005f4000000VrDDAA0,2021-06-05T11:13:02.000+0000,,1,2021,2021 1,2021-06-05T11:13:02.000+0000,2021-06-05T11:13:02.000+0000,,,,,,,
006f4000002NAaLAAW,,001f4000003Nkd2AAC,,Training 20 hours,"Requires ""super users"" to learn the system, which is not the setup they want.  They prefer a product that all users can easily learn.",Closed Won,24284,100,24284,,2021-02-21,New Customer,Closed Won.  Paperwork attached.,MM-1986,1,1,Closed,Closed,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:46.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:47.000+0000,,1,2021,2021 1,2021-06-05T11:10:46.000+0000,2021-06-05T11:10:46.000+0000,,,,,,,
006f4000002NAaMAAW,,001f4000003NkdsAAC,,Training 30 hours,"Customer pain: training is too intense, product is too difficult to use, not a scalable solution.  Mashmatrix seems to solve all of those issues.",Closed Won,23465,100,23465,,2021-04-18,New Customer,Closed Won.  Paperwork attached.,MM-1987,1,1,Closed,Closed,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:46.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:47.000+0000,,2,2021,2021 2,2021-06-05T11:10:46.000+0000,2021-06-05T11:10:46.000+0000,,,,,,,
006f4000002NAaNAAW,,001f4000003NkcxAAC,,Training 40 hours,"Current product is too expensive on a recurring basis, and maintenance fees are through the roof.  Requires IT administration, which is where they are looking to cut costs.",Closed Won,18838,100,18838,,2021-03-10,New Customer,Closed Won.  Paperwork attached.,MM-1988,1,1,Closed,Closed,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:46.000+0000,005f4000000VrDDAA0,2021-06-05T11:10:47.000+0000,,1,2021,2021 1,2021-06-05T11:10:46.000+0000,2021-06-05T11:10:46.000+0000,,,,,,,
006f4000002NAaOAAW,,001f4000003NkcyAAC,,Pilot 100 users,Competing with on-premise solutions which are costly and require heavy administration and infrastructure.  Looking for a more cost effective solution,Value Proposition,24808,50,12404,,2021-08-01,New Customer,Closed Won.  Paperwork attached.,MM-1989,,,Pipeline,Pipeline,,,,005f4000000VrDDAA0,2017-08-04T09:09:33.000+0000,005f4000000VrDDAA0,2021-06-05T11:14:44.000+0000,005f4000000VrDDAA0,2021-06-05T11:14:44.000+0000,,3,2021,2021 3,2021-06-05T11:14:44.000+0000,2021-06-05T11:14:44.000+0000,,,,,,,
